Zone,Produit,Origine,Aliments pour animaux,Autres Utilisations,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Semences,Traitement,Variation de stock,Categorie
Maldives,Aliments pour enfants,Vegetale,0.0,0.0,4.0,0.36,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Produits divers
Maldives,Ananas,Vegetale,0.0,1000000.0,14.0,14.01,0.04,0.1,6000000.0,0.0,6000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Animaux aquatiques et autres,Animale,0.0,0.0,0.0,0.1,0.0,0.01,0.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Arachides decortiquees,Vegetale,0.0,0.0,2.0,0.14,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Avoine,Vegetale,0.0,0.0,1.0,0.11,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Bananes,Vegetale,0.0,0.0,4.0,2.54,0.02,0.05,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Bananes plantains,Vegetale,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Beurre et ghee,Animale,0.0,0.0,41.0,2.06,4.66,0.05,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Bière,Vegetale,0.0,0.0,8.0,5.6,0.0,0.08,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Maldives,Blé,Vegetale,0.0,8000000.0,566.0,77.77,2.95,13.23,36000000.0,0.0,38000000.0,27000000.0,0.0,0.0,0.0,0.0,-3000000.0,Céréales
Maldives,Boissons alcooliques,Vegetale,0.0,0.0,8.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Maldives,Boissons fermentés,Vegetale,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Maldives,Café,Vegetale,0.0,0.0,12.0,8.58,0.0,0.45,3000000.0,0.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Maldives,Cephalopodes,Animale,0.0,0.0,2.0,0.75,0.02,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Citrons et limes,Vegetale,0.0,0.0,2.0,3.72,0.02,0.06,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Coco (inclut coprah),Vegetale,0.0,0.0,7.0,1.61,0.6,0.07,1000000.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,Oléagineux
Maldives,Crustacés,Animale,0.0,0.0,5.0,3.22,0.04,0.95,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Crème,Animale,0.0,0.0,1.0,0.23,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lait et fromage
Maldives,Céréales et autres,Vegetale,0.0,0.0,2.0,0.2,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Dattes,Vegetale,0.0,0.0,5.0,1.23,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Edulcorants autres,Vegetale,0.0,2000000.0,11.0,2.21,0.0,0.0,3000000.0,0.0,3000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Sucres et édulcorants
Maldives,Feve de cacao,Vegetale,0.0,1000000.0,23.0,1.14,2.13,0.25,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Maldives,Fruits et autres,Vegetale,0.0,1000000.0,46.0,52.5,0.21,0.42,19000000.0,0.0,16000000.0,18000000.0,0.0,3000000.0,0.0,0.0,0.0,Fruits
