Autres non-céréales,Blé et farines,Bulgur,Céréales,Céréales secondaires,Fruits secs,Graisses comestibles,Huiles végétales,Lait,Légumineuses sèches,Mélanges et préparations,Non-céréales,Poissons et produits de la mer,Riz,Sucre,Viande
4000,0,0,2000,0,0,0,7000,0,2000,0,16000,0,2000,3000,0
396000,0,3908000,23158000,0,0,0,2218000,17000,4613000,8080000,7449000,0,11170000,205000,0
254000,0,780000,12440000,0,0,0,1315000,0,2545000,1010000,4114000,0,10650000,0,0
175000,0,771000,3421000,0,0,0,231000,0,1006000,0,1412000,0,2650000,0,0
105000,0,3544000,4005000,0,0,0,516000,0,1605000,461000,2226000,0,0,0,0
0,0,0,10770000,0,0,0,2798000,0,0,2895000,2798000,0,7875000,0,0
0,0,0,3238000,0,0,0,1540000,0,521000,2269000,2061000,0,969000,0,0
0,0,0,4072000,0,0,0,1880000,0,301000,2772000,2181000,0,1300000,0,0
0,0,0,753000,0,331000,0,558000,0,604000,443000,1493000,0,310000,0,0
0,0,0,500000,0,0,0,196000,0,327000,0,569000,0,500000,46000,0
0,0,0,325000,0,0,0,312000,0,75000,0,412000,0,325000,25000,0
0,0,0,200000,0,0,0,0,0,0,0,46000,0,200000,46000,0
0,0,0,0,0,0,0,0,0,241000,0,291000,0,0,50000,0
169000,0,0,139000,0,0,0,8000,0,13000,0,194000,0,139000,4000,0
0,0,0,465000,0,0,0,0,0,0,0,0,0,465000,0,0
1001000,0,0,0,0,0,0,0,0,0,0,1001000,0,0,0,0
5000,35000,594000,2209000,0,0,0,1039000,91000,876000,321000,2527000,3000,1259000,513000,0
0,0,141000,3541000,0,0,0,454000,0,386000,0,840000,0,3400000,0,0
1000,1370000,0,1370000,0,0,0,0,0,0,0,1651000,0,0,1650000,0
0,34520000,0,92906000,52400000,306000,0,1900000,0,15325000,1348000,17577000,0,4638000,46000,0
22000,37940000,11507000,92993000,43546000,0,0,4768000,125000,10801000,0,15716000,0,0,0,0
140000,25809000,0,45899000,20090000,324000,0,50000,0,10813000,0,11327000,0,0,0,0
0,360000,0,540000,0,0,0,399000,0,80000,0,479000,0,180000,0,0
0,380000,0,570000,0,0,0,50000,0,80000,0,130000,0,190000,0,0
0,180000,0,270000,0,0,0,40000,0,40000,0,80000,0,90000,0,0
0,0,0,1175000,0,0,0,91000,0,81000,1175000,308000,136000,0,0,0
0,470000,0,1539000,0,0,0,208000,0,373000,1069000,765000,0,0,184000,0
0,0,0,0,0,0,0,111000,0,720000,0,1525000,569000,0,125000,0
2000,0,0,776000,0,0,0,848000,0,698000,0,1551000,0,776000,3000,0
0,0,0,0,0,390000,0,320000,0,350000,0,1060000,0,0,0,0
0,0,0,0,0,800000,0,0,0,0,0,800000,0,0,0,0
298000,0,0,0,0,0,0,0,0,0,0,298000,0,0,0,0
2139000,0,0,0,0,0,0,0,0,0,0,2139000,0,0,0,0
2207000,0,0,0,0,0,0,0,0,0,0,2207000,0,0,0,0
2000,0,80000,8520000,0,0,0,0,0,70000,380000,72000,0,8060000,0,0
1000,0,420000,879000,0,0,0,201000,0,250000,459000,452000,0,0,0,0
5000,0,0,18721000,9758000,0,0,3422000,0,2043000,1918000,5470000,0,7045000,0,0
80000,0,0,9499000,6627000,0,0,500000,0,888000,1035000,1468000,0,1837000,0,0
9000,0,0,11218000,7190000,0,0,512000,0,1442000,1774000,1963000,0,2254000,0,0
63000,15000000,0,18103000,0,0,0,6078000,0,2479000,3103000,8620000,0,0,0,0
154000,0,0,11327000,0,0,0,49000,0,695000,11327000,898000,0,0,0,0
74000,0,0,3053000,0,0,0,1027000,0,1549000,3053000,2650000,0,0,0,0
0,0,0,0,0,0,0,0,0,860000,0,860000,0,0,0,0
853000,1674000,2868000,24688000,0,0,0,6955000,0,7747000,3802000,15555000,0,16344000,0,0
706000,10000000,0,19146000,0,0,0,2107000,0,6163000,8317000,8976000,0,829000,0,0
66000,0,0,1665000,0,0,0,2420000,0,2277000,1665000,4763000,0,0,0,0
89000,0,0,8456000,0,153000,0,957000,0,3133000,1560000,4332000,0,6896000,0,0
169000,0,0,3166000,0,0,0,2437000,0,1116000,358000,3722000,0,2808000,0,0
67000,2040000,0,6028000,0,504000,0,268000,0,483000,2393000,1322000,0,1595000,0,0
0,0,0,1493000,0,72000,0,0,0,0,0,72000,0,1493000,0,0
0,0,0,7908000,504000,0,0,11070000,0,0,7404000,11070000,0,0,0,0
0,0,0,2209000,0,0,0,6500000,0,0,2209000,6500000,0,0,0,0
0,0,0,1619000,0,0,0,0,0,0,1619000,0,0,0,0,0
0,0,0,714000,0,0,0,2410000,0,0,714000,2410000,0,0,0,0
5000,0,0,691000,0,0,0,1873000,0,0,610000,1883000,0,81000,5000,0
0,0,0,1221000,0,0,0,2356000,0,0,1221000,2356000,0,0,0,0
368000,0,0,4509000,0,136000,0,3923000,200000,6390000,1873000,11017000,0,2636000,0,0
190000,290000,0,3143000,0,0,0,4189000,150000,9380000,1423000,13909000,0,1430000,0,0
0,18800000,0,19445000,170000,72000,0,4180000,225000,294000,150000,4771000,0,325000,0,0
0,0,0,638000,0,234000,0,0,0,0,497000,234000,0,141000,0,0
1149000,0,5274000,26716000,0,0,0,1351000,0,2144000,10383000,4644000,0,11059000,0,0
1230000,0,2748000,27096000,0,0,0,1916000,0,2871000,12740000,6017000,0,11608000,0,0
22000,0,2619000,21534000,0,0,0,1945000,0,3827000,9994000,5794000,0,8921000,0,0
19000,0,0,40386000,0,0,0,1043000,0,4923000,5861000,5985000,0,34525000,0,0
0,0,0,5283000,0,0,0,377000,0,474000,2647000,915000,0,2636000,64000,0
0,0,0,150000,0,0,0,275000,0,220000,0,495000,0,150000,0,0
23000,0,0,5498000,0,0,0,452000,0,520000,4028000,995000,0,1470000,0,0
0,0,0,1362000,0,0,0,380000,0,0,1232000,380000,0,130000,0,0
0,0,0,8356000,6435000,0,0,681000,0,1800000,1803000,2527000,0,118000,46000,0
0,0,0,13359000,10375000,0,0,2144000,0,2768000,2984000,4912000,0,0,0,0
4000,0,0,1578000,1578000,0,0,470000,0,1105000,0,1579000,0,0,0,0
9000,0,0,29141000,0,158000,0,7193000,0,14181000,2963000,21541000,0,26178000,0,0
530000,0,0,32889000,0,150000,0,10776000,0,10789000,6005000,22245000,0,26884000,0,0
530000,0,0,0,0,0,0,9190000,0,0,0,9720000,0,0,0,0
0,20167000,0,20167000,0,0,0,2998000,0,1710000,0,6476000,148000,0,1620000,0
0,35208000,0,35208000,0,0,0,2484000,0,2286000,0,6359000,95000,0,1494000,0
0,15390000,0,15390000,0,0,0,468000,0,774000,0,1242000,0,0,0,0
158000,0,0,30262000,0,153000,0,109000,0,400000,0,820000,0,30262000,0,0
144000,0,0,31140000,0,0,0,238000,0,21190000,0,21572000,0,31140000,0,0
43000,0,0,1944000,0,0,0,0,0,80000,0,123000,0,1944000,0,0
0,0,0,3139000,0,0,0,689000,0,638000,497000,1327000,0,2642000,0,0
0,0,0,880000,0,0,0,312000,0,0,880000,358000,0,0,46000,0
559000,122708000,12033000,189623000,0,0,50000,27721000,1280000,39032000,0,92273000,789000,54882000,22616000,0
30000,103823000,47816000,225007000,0,0,0,10717000,1438000,80947000,0,101209000,0,73368000,7515000,0
3196000,68726000,24673000,181475000,0,0,0,3698000,0,44995000,0,81052000,0,88076000,29058000,0
0,11428000,8581000,29569000,0,0,0,0,0,21752000,0,29710000,0,9560000,7958000,0
112000,0,0,6391000,3803000,0,0,722000,0,1330000,413000,2187000,0,2175000,23000,0
1412000,0,0,9652000,2852000,0,0,739000,0,1906000,3672000,4057000,0,3128000,0,0
105000,0,0,7146000,2595000,0,0,1288000,0,2479000,580000,3872000,0,3971000,0,0
12000,0,0,0,0,0,0,0,0,24500000,0,24512000,0,0,0,0
0,17300000,0,17507000,0,0,0,0,0,0,207000,0,0,0,0,0
5000,0,0,113000,0,0,0,0,0,0,113000,5000,0,0,0,0
3000,0,0,113000,0,0,0,0,0,0,113000,3000,0,0,0,0
684000,0,0,58011000,24094000,0,0,3605000,0,12322000,8045000,17149000,0,25872000,538000,0
831000,0,0,29662000,24084000,0,0,1261000,0,3313000,5578000,5405000,0,0,0,0
649000,0,0,28365000,446000,0,0,1440000,0,3455000,27523000,5659000,0,396000,115000,0
176000,0,0,3758000,0,0,0,359000,0,297000,2609000,832000,0,1149000,0,0
283000,0,0,4434000,0,0,0,860000,0,70000,1826000,1213000,0,2608000,0,0
229000,0,0,2627000,0,0,0,86000,0,70000,1378000,1136000,446000,1249000,305000,0
0,25962000,0,29544000,3582000,0,0,1681000,900000,1867000,0,6118000,0,0,1670000,0
0,9684000,0,16279000,6395000,0,0,1280000,1772000,648000,0,5312000,0,200000,1612000,0
0,13485000,0,22335000,8625000,0,0,3111000,1375000,6776000,0,12918000,0,225000,1656000,0
0,0,0,0,0,0,0,0,775000,0,0,1200000,0,0,425000,0
0,11830000,0,19345000,3626000,153000,0,357000,0,1703000,2560000,2213000,0,1329000,0,0
